time_idx,hour_of_day,hour_of_day_cos,hour_of_day_sin,month_of_year,month_of_year_cos,month_of_year_sin,season_of_year,season_of_year_cos,season_of_year_sin,sunposition_thetaZ,sunposition_solarAzimuth,sunposition_extraTerr,sunposition_solarHeight,clearsky_diffuse,clearsky_direct,clearsky_global,clearsky_diffuse_agg,clearsky_direct_agg,clearsky_global_agg,Albedo,WindComponentUat0,WindComponentVat0,WindComponentUat100,WindComponentVat100,DewpointTemperatureAt0,TemperatureAt0,PotentialVorticityAt1000,PotentialVorticityAt950,RelativeHumidityAt1000,RelativeHumidityAt950,RelativeHumidityAt0,SnowDensityAt0,SnowDepthAt0,SnowfallPlusStratiformSurfaceAt0,SurfacePressureAt0,SolarRadiationGlobalAt0,SolarRadiationDirectAt0,SolarRadiationDiffuseAt0,TotalCloudCoverAt0,LowerWindSpeed,LowerWindDirection,LowerWindDirectionMath,LowerWindDirectionCos,LowerWindDirectionSin,UpperWindSpeed,UpperWindDirection,UpperWindDirectionMath,UpperWindDirectionCos,UpperWindDirectionSin,power_normed
1,0,1,0,0.909090909,0.01733238,0.258819045,1,0,0,1,0.247430203,3.63E-18,0,0,0,0,0,0,0,0.080127116,0.410468422,0.673404073,0.474435812,0.711366475,0.615353475,0.405388133,0.316215782,0.260500782,0.914286098,0.959795383,0.945207155,1.14E-07,0,2.23E-19,0.451299612,0,0,5.04E-04,0.9921875,0.328843329,0.54844323,0.201164884,0.650425509,0.976835588,0.436178581,0.562180303,0.187853359,0.68989619,0.962536245,0
2,0.142857143,0.957823644,0.399332025,0.909090909,0.01733238,0.258819045,1,0,0,1,0.247690569,3.63E-18,0,0,0,0,0,0,0,0.064977872,0.432136325,0.746489312,0.476515895,0.762775345,0.646864157,0.435967051,0.312015261,0.236080762,0.893663103,0.938105091,0.93201375,1.14E-07,0,2.23E-19,0.380171476,0,0,5.04E-04,1,0.419094702,0.550798793,0.198811312,0.657457288,0.974560021,0.499814286,0.555104524,0.194929513,0.669160997,0.970515551,0
3,0.285714286,0.838278027,0.732543693,0.909090909,0.01733238,0.258819045,1,0,0,1,0.247950608,3.64E-18,0,0,0,0,0,0,0,0.064977872,0.507479749,0.585279452,0.581682516,0.591138684,0.540380926,0.380825603,0.317264951,0.262207599,0.776799467,0.775427908,0.852227945,1.14E-07,0,2.23E-19,0.38955558,0,0,5.04E-04,1,0.325331443,0.63653747,0.113145089,0.878398509,0.826824924,0.416339311,0.64857921,0.101449879,0.901464073,0.798038759,0
4,0.428571429,0.661157201,0.944462683,0.909090909,0.01733238,0.258819045,1,0,0,0.703748192,0.377427182,0.372673408,0.296251808,0.327964718,0.280630558,0.314651742,0.201384326,0.126893576,0.155145914,0.064977872,0.663190869,0.574109281,0.694412541,0.556281373,0.542532211,0.381852017,0.317592507,0.233733648,0.797422461,0.840498781,0.854064429,1.14E-07,0,2.23E-19,0.406653233,0.061131488,0.003882195,0.131738035,0.9296875,0.523399648,0.687496098,0.062229524,0.961955174,0.691304496,0.551582216,0.690068447,0.059958446,0.964695836,0.684548994,0.020386308
5,0.571428571,0.455788372,1,0.909090909,0.01733238,0.258819045,1,0,0,0.634165058,0.55514543,0.456225534,0.365834942,0.376189668,0.385498841,0.41517291,0.377848198,0.390737724,0.421222164,0.064977872,0.713360812,0.550656089,0.730160193,0.530569104,0.511486357,0.39465226,0.238353624,0.206482433,0.666810162,0.775427908,0.758416825,1.14E-07,0,2.23E-19,0.4175867,0.281982883,0.187148594,0.287405542,0.59375,0.586319612,0.702217809,0.047520254,0.977633392,0.647872791,0.594190053,0.703946486,0.046079672,0.978996693,0.643397098,0.126002122
6,0.714285714,0.256175975,0.88995992,0.909090909,0.01733238,0.258819045,1,0,0,0.898479036,0.715968095,0.129610775,0.101520964,0.172317839,0.071429739,0.10047963,0.294509141,0.237540304,0.271189223,0.064977872,0.658832473,0.594271066,0.727591024,0.593340075,0.433735587,0.385378468,0.264665277,0.215868963,0.481203209,0.612750724,0.625583704,1.14E-07,0,2.23E-19,0.435747758,0.213960209,0.156626506,0.190680101,0.3046875,0.526681396,0.680257445,0.06946206,0.952791738,0.712084004,0.618802793,0.68356726,0.066459976,0.956775508,0.70336342,0.119124813
7,0.857142857,0.095371312,0.632562594,0.909090909,0.01733238,0.258819045,1,0,0,1,0.751012997,3.66E-18,0,0,0,0,0.026561674,0.005371295,0.010774624,0.064977872,0.631610903,0.641271742,0.708721351,0.656966272,0.446880637,0.355208529,0.263178085,0.206904798,0.591192514,0.726624753,0.725189193,1.14E-07,0,2.23E-19,0.446714494,0.005668556,0.00107095,0.011335013,0.859375,0.51631647,0.659703409,0.089998727,0.921751312,0.768562463,0.63124419,0.661466406,0.088562001,0.924245767,0.764605461,9.82E-04
8,1,0,0.270427199,0.909090909,0.01733238,0.258819045,1,0,0,1,0.750754616,3.66E-18,0,0,0,0,0,0,0,0.064977872,0.654498065,0.616391031,0.717195428,0.606929027,0.465094909,0.329733551,0.301938516,0.217778284,0.74930214,0.81880849,0.826404152,1.14E-07,0,2.23E-19,0.454433983,0,0,5.04E-04,0.734375,0.53212164,0.6725316,0.077181376,0.941981529,0.733778318,0.611359142,0.677645255,0.072382295,0.948897772,0.720207472,0
9,0,1,0,0.909090909,0.01733238,0.258819045,1,0,0,1,0.249503891,3.67E-18,0,0,0,0,0,0,0,0.064977872,0.55793176,0.650841162,0.626261014,0.66087942,0.471892683,0.315829715,0.303697756,0.232103975,0.818045456,0.851343927,0.876273909,1.14E-07,0,2.23E-19,0.439899196,0,0,5.04E-04,0.4453125,0.433004619,0.634044811,0.115635642,0.873240201,0.832703645,0.528089134,0.639368884,0.110660692,0.883562346,0.820749771,0
10,0.142857143,0.957823644,0.399332025,0.909090909,0.01733238,0.258819045,1,0,0,1,0.249761598,3.67E-18,0,0,0,0,0,0,0,0.064741417,0.405442494,0.709754274,0.464096463,0.748780977,0.438793167,0.31806936,0.354952581,0.26115458,0.701181819,0.775427908,0.801590627,1.14E-07,0,2.23E-19,0.380832094,0,0,5.04E-04,1,0.366990178,0.539834993,0.209765847,0.624460479,0.984261916,0.476173315,0.550996137,0.199038117,0.656965667,0.97472318,0
11,0.285714286,0.838278027,0.732543693,0.909090909,0.01733238,0.258819045,1,0,0,1,0.250018966,3.68E-18,0,0,0,0,0,0,0,0.064741417,0.371300761,0.881507162,0.416451141,0.883526064,0.486844203,0.326131364,0.307724057,0.219839964,0.831794119,0.8567665,0.881004673,1.14E-07,0,2.23E-19,0.312839517,0,0,5.04E-04,1,0.554568008,0.511120587,0.238455987,0.535657568,0.998726931,0.631715791,0.518996528,0.23103942,0.559042287,0.996502028,0
12,0.428571429,0.661157201,0.944462683,0.909090909,0.01733238,0.258819045,1,0,0,0.708625171,0.377825926,0.366928456,0.291374829,0.324704187,0.274296992,0.308500858,0.196998281,0.122764833,0.150603268,0.064741247,0.454320387,0.962065495,0.497020493,0.949412408,0.524806053,0.342245272,0.316145435,0.213843926,0.87991444,0.905569655,0.919003278,1.14E-07,0,2.23E-19,0.261957663,0.009003001,0,0.020906801,1,0.666941848,0.539819029,0.209781798,0.624411966,0.984274382,0.7411535,0.544068021,0.205966599,0.636167816,0.981101476,0.006877309
13,0.571428571,0.455788372,1,0.909090909,0.01733238,0.258819045,1,0,0,0.63920708,0.554905784,0.45048556,0.36079292,0.373363424,0.378265324,0.408354044,0.374943248,0.383300165,0.414204406,0.064741361,0.477119042,0.874634897,0.537877018,0.892834969,0.591056136,0.409170646,0.26542646,0.170155195,0.845542782,0.889301936,0.884844719,1.14E-07,0,2.23E-19,0.229750153,0.080471268,0.009772423,0.164483627,0.9765625,0.581062156,0.555911357,0.193703069,0.67259879,0.969265028,0.692850033,0.562954734,0.187078887,0.692143586,0.961607176,0.085475124
14,0.714285714,0.256175975,0.88995992,0.909090909,0.01733238,0.258819045,1,0,0,0.902735548,0.715296518,0.124260819,0.097264452,0.168240722,0.067664205,0.096331856,0.291064777,0.231750993,0.265450687,0.064741474,0.497406386,0.85718781,0.544923482,0.84683426,0.599244811,0.416166563,0.331155306,0.25960398,0.831794119,0.8567665,0.883941696,1.14E-07,0,2.23E-19,0.197297882,0.118595087,0.041499331,0.191183879,0.9921875,0.574022131,0.56588062,0.18374223,0.701599079,0.957556351,0.642739659,0.571169143,0.178864044,0.715691557,0.951084817,0.098001651
15,0.857142857,0.095371312,0.632562594,0.909090909,0.01733238,0.258819045,1,0,0,1,0.748955455,3.70E-18,0,0,0,0,0.024394179,0.004935624,0.00989764,0.064749502,0.63254644,0.748377321,0.671205388,0.747155395,0.606292464,0.402834721,0.296531094,0.222034719,0.893663103,0.905569655,0.932845719,1.14E-07,0,2.23E-19,0.194540158,0.002334111,0,0.005793451,1,0.592799711,0.631884299,0.117794328,0.868695315,0.83773322,0.656028306,0.629607717,0.120422376,0.863190919,0.843646372,7.37E-04
16,1,0,0.270427199,0.909090909,0.01733238,0.258819045,1,0,0,1,0.74869981,3.70E-18,0,0,0,0,0,0,0,0.064731169,0.680206728,0.332361919,0.716363502,0.317785631,0.492231372,0.322358949,0.349671565,0.27224214,0.873040109,0.900147082,0.902111175,1.14E-07,0,2.23E-19,0.304198014,1.11E-04,0,7.56E-04,0.5,0.5152473,0.774025395,0.976190922,0.994357736,0.425095238,0.557221938,0.780405066,0.97011523,0.991067606,0.405908877,0
17,0,1,0,0.909090909,0.01733238,0.258819045,1,0,0,1,0.251555949,3.70E-18,0,0,0,0,0,0,0,0.06472929,0.608669974,0.521231876,0.672874061,0.50535169,0.452331395,0.298900734,0.325528047,0.240844421,0.818045456,0.867611645,0.879011613,1.14E-07,0,2.23E-19,0.341147479,0,0,5.04E-04,1,0.423924479,0.696642055,0.053091296,0.972168126,0.664490939,0.497774097,0.705656268,0.0443698,0.98050886,0.638245422,0
18,0.142857143,0.957823644,0.399332025,0.909090909,0.01733238,0.258819045,1,0,0,1,0.251810894,3.71E-18,0,0,0,0,0,0,0,0.064507981,0.594788288,0.489580866,0.636876778,0.466876317,0.498960182,0.32489505,0.300236983,0.222696231,0.87991444,0.943527664,0.909696182,1.14E-07,0,2.23E-19,0.359269328,0,0,5.04E-04,0.9765625,0.392882941,0.707734788,0.042007937,0.982465599,0.631251582,0.430275032,0.717537478,0.03248796,0.989477869,0.602039114,0
19,0.285714286,0.838278027,0.732543693,0.909090909,0.01733238,0.258819045,1,0,0,1,0.252065487,3.71E-18,0,0,0,0,0,0,0,0.064507981,0.546655682,0.549328342,0.586969239,0.529205965,0.49665485,0.324482465,0.300075953,0.215712746,0.873040109,0.948950237,0.90590925,1.14E-07,0,2.23E-19,0.386390316,0,0,5.04E-04,1,0.350629881,0.668597878,0.081111774,0.936076607,0.74461636,0.381397628,0.677582097,0.072445457,0.948810389,0.720385514,0
20,0.428571429,0.661157201,0.944462683,0.909090909,0.01733238,0.258819045,1,0,0,0.713456019,0.378205201,0.361222094,0.286543981,0.321436838,0.268064543,0.302434662,0.191590759,0.118707022,0.145882813,0.064507981,0.525516345,0.679088932,0.549427562,0.641833343,0.471982245,0.343947547,0.293882616,0.224590123,0.721804814,0.835076209,0.804575607,1.14E-07,0,2.23E-19,0.394633785,0.064577081,0.013788487,0.120906801,0.8515625,0.421599086,0.612446126,0.137216075,0.824861328,0.880085634,0.422840107,0.61720123,0.132829519,0.83533998,0.870874033,0.021860017
21,0.571428571,0.455788372,1,0.909090909,0.01733238,0.258819045,1,0,0,0.644172448,0.554656591,0.444815524,0.355827552,0.370542933,0.371178228,0.401661396,0.372036005,0.375994611,0.40729864,0.064507981,0.538793364,0.787613259,0.551734242,0.724384188,0.424938784,0.366388003,0.29889873,0.22935571,0.522449199,0.672399025,0.653825373,1.14E-07,0,2.23E-19,0.364276243,0.313771257,0.191432396,0.35138539,1,0.533813388,0.592820911,0.156824705,0.775710331,0.917113651,0.509680846,0.595619805,0.154412087,0.782150023,0.912785385,0.106843905
22,0.714285714,0.256175975,0.88995992,0.909090909,0.01733238,0.258819045,1,0,0,0.906905451,0.714623634,0.119012487,0.093094549,0.16421771,0.064017986,0.092298277,0.287649444,0.226106141,0.259842066,0.064507981,0.427855684,0.849840802,0.468820175,0.831835165,0.435535788,0.311908712,0.256280722,0.183483797,0.728679146,0.780850481,0.810494489,1.14E-07,0,2.23E-19,0.315331093,0.084806046,0.013386881,0.167506297,1,0.531778629,0.537737804,0.211861264,0.618076806,0.985857883,0.581754835,0.543696846,0.206337795,0.635045937,0.981417593,0.101931541
23,0.857142857,0.095371312,0.632562594,0.909090909,0.01733238,0.258819045,1,0,0,1,0.74692016,3.73E-18,0,0,0,0,0.021675808,0.004392366,0.008800443,0.064507981,0.464850351,0.839901894,0.500749966,0.81394658,0.448624414,0.265537587,0.305680679,0.220397332,0.948657756,0.976063101,0.958835352,1.14E-07,0,2.23E-19,0.273013512,0.001000333,0,0.002770781,1,0.537076178,0.554796863,0.19481662,0.669312682,0.970460652,0.575640165,0.558854866,0.191178972,0.680195391,0.966401067,9.82E-04
24,1,0,0.270427199,0.909090909,0.01733238,0.258819045,1,0,0,1,0.746667353,3.74E-18,0,0,0,0,0,0,0,0.064507981,0.779401802,0.39537997,0.831918219,0.369186014,0.530733282,0.343543617,0.306029669,0.212906623,0.893663103,0.9164148,0.928118984,0.005698781,0,2.23E-19,0.255554658,1.11E-04,0,7.56E-04,0.7578125,0.660826676,0.751236911,0.998960148,0.999986595,0.496314111,0.731478724,0.75863239,0.991889058,0.99930981,0.473727062,0
25,0,1,0,0.909090909,0.01733238,0.258819045,1,0,0,1,0.253585554,3.74E-18,0,0,0,0,0,0,0,0.064518457,0.730959004,0.497297362,0.789577834,0.480253095,0.509284917,0.328425828,0.307833426,0.21034929,0.893663103,0.910992228,0.922285934,0.016863518,0,2.23E-19,0.291632012,0,0,5.04E-04,0.90625,0.59752274,0.719974801,0.029778268,0.99111457,0.59384319,0.671676208,0.725177457,0.024847577,0.993808684,0.57844456,0
26,0.142857143,0.957823644,0.399332025,0.909090909,0.01733238,0.258819045,1,0,0,1,0.253837634,3.75E-18,0,0,0,0,0,0,0,0.06430045,0.769342502,0.441709646,0.821159961,0.425545402,0.488902343,0.324478137,0.335613585,0.242663097,0.852417114,0.884319716,0.889604404,1.14E-07,0,2.23E-19,0.301374941,0,0,5.04E-04,0.7734375,0.647267844,0.738151309,0.01161712,0.99860412,0.537337093,0.714242527,0.742554669,0.007469445,0.999414934,0.524192692,0
27,0.285714286,0.838278027,0.732543693,0.909090909,0.01733238,0.258819045,1,0,0,1,0.254089349,3.75E-18,0,0,0,0,0,0,0,0.064300393,0.783489711,0.410595874,0.827213256,0.395188146,0.472026131,0.319392951,0.330983833,0.244190554,0.815747229,0.872241054,0.867351186,1.14E-07,0,2.23E-19,0.353808535,0,0,5.04E-04,0.7578125,0.667167193,0.747051498,0.002724452,0.999910932,0.509445801,0.723017589,0.751309471,0.999212365,0.999989737,0.496710378,0
28,0.428571429,0.661157201,0.944462683,0.909090909,0.01733238,0.258819045,1,0,0,0.71823873,0.378565035,0.355557304,0.28176127,0.318165027,0.261935125,0.296455327,0.186315766,0.114721244,0.141254677,0.064300279,0.791974894,0.422983054,0.82105818,0.419236969,0.480633957,0.333855797,0.204306483,0.172913103,0.802235836,0.843987345,0.848158252,1.14E-07,0,2.23E-19,0.40436008,0.093142158,0.055153949,0.107808564,0.296875,0.680528758,0.743777459,0.005995724,0.999611357,0.51971398,0.713730885,0.744373479,0.005650539,0.999658694,0.51848651,0.027017999
29,0.571428571,0.455788372,1,0.909090909,0.01733238,0.258819045,1,0,0,0.649059362,0.554398009,0.439218447,0.350940638,0.367730824,0.364239048,0.395096843,0.369128952,0.368823073,0.400507161,0.064300222,0.791991437,0.410520222,0.803174176,0.407553669,0.451891644,0.389366552,0.180020071,0.175570723,0.522449199,0.666976452,0.651922356,1.14E-07,0,2.23E-19,0.432077525,0.318328332,0.261579652,0.229722922,0.4765625,0.680138972,0.747129146,0.00264687,0.999915476,0.509202213,0.684971285,0.747645329,0.002378515,0.999933052,0.508216105,0.057474652
30,0.714285714,0.256175975,0.88995992,0.909090909,0.01733238,0.258819045,1,0,0,0.910987231,0.713949687,0.113868188,0.089012769,0.160252026,0.060489908,0.088378629,0.28426615,0.220605864,0.254364162,0.064300165,0.608929707,0.500520792,0.665089417,0.492337894,0.488012094,0.377190958,0.253427247,0.191244511,0.653061498,0.770005335,0.75411782,1.14E-07,0,2.23E-19,0.447894339,0.179504279,0.126104418,0.170025189,0.9765625,0.41706624,0.705265334,0.044475304,0.98037381,0.638712036,0.481397998,0.709880673,0.040145171,0.984007102,0.625449941,0.031930362
31,0.857142857,0.095371312,0.632562594,0.909090909,0.01733238,0.258819045,1,0,0,1,0.744907941,3.77E-18,0,0,0,0,0.019128248,0.003868194,0.007759361,0.064300108,0.477605422,0.525649291,0.54312785,0.517947667,0.519189605,0.351219723,0.332314942,0.241949513,0.831794119,0.851343927,0.883971827,1.14E-07,0,2.23E-19,0.457449539,0.002000667,0,0.005037783,1,0.246933533,0.650757809,0.098936767,0.906018861,0.791802411,0.313014468,0.668774309,0.081253711,0.935939206,0.744862285,0
32,1,0,0.270427199,0.909090909,0.01733238,0.258819045,1,0,0,1,0.744658078,3.78E-18,0,0,0,0,0,0,0,0.064299881,0.369643925,0.589756072,0.433560002,0.609951043,0.561361776,0.35367576,0.373257248,0.3665298,0.955532087,0.992330819,0.96640163,1.14E-07,0,2.23E-19,0.436339463,1.11E-04,0,7.56E-04,1,0.22033944,0.526526965,0.223062629,0.583632383,0.992956023,0.289640109,0.556830026,0.193203919,0.674249859,0.968654795,0
33,0,1,0,0.909090909,0.01733238,0.258819045,1,0,0,1,0.255591872,3.78E-18,0,0,0,0,0,0,0,0.064299653,0.671556937,0.641978923,0.73910407,0.631069248,0.666692341,0.459387758,0.371494161,0.250080519,0.873040109,0.910992228,0.913116325,1.14E-07,0,2.23E-19,0.427947474,0,0,5.04E-04,1,0.569080863,0.668658632,0.081051072,0.936169834,0.744450091,0.656514093,0.674532393,0.075495322,0.944507211,0.728940769,0
34,0.142857143,0.957823644,0.399332025,0.909090909,0.01733238,0.258819045,1,0,0,1,0.255840982,3.78E-18,0,0,0,0,0,0,0,0.064064907,0.610611358,0.694924304,0.675799463,0.684128508,0.650974168,0.448031564,0.390302802,0.30127153,0.866165777,0.905569655,0.909615015,0.091760294,0,2.23E-19,0.45280026,0,0,5.04E-04,0.9921875,0.527029423,0.638749593,0.110934835,0.882898773,0.821540809,0.608369099,0.646447537,0.103581665,0.897438151,0.803386579,0
